t`s	v(l3bl3)`V`float	v(l3bl5)`V`float	v(l3bl2)`V`float	v(l3bl6)`V`float	v(l3bl1)`V`float	v(l3bl7)`V`float	v(l3bl0)`V`float	v(l3bl8)`V`float	v(l3bl4)`V`float	v(l3bl9)`V`float
2.8608e-08	NULL	NULL	NULL	NULL	0.654364	NULL	NULL	NULL	NULL	NULL
2.8672e-08	NULL	0.657432	NULL	NULL	NULL	0.651834	NULL	NULL	NULL	NULL
2.8704e-08	NULL	NULL	NULL	0.582821	NULL	NULL	0.611425	0.569262	NULL	NULL
2.8832e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.611749	NULL	NULL	NULL
2.8864e-08	0.634546	NULL	NULL	NULL	NULL	0.651991	NULL	0.56971	0.609253	NULL
2.8896e-08	NULL	NULL	0.617315	NULL	NULL	NULL	NULL	NULL	NULL	0.592096
2.8944e-08	NULL	0.658455	NULL	NULL	0.655069	NULL	NULL	NULL	0.609199	NULL
2.896e-08	0.634412	NULL	0.617333	NULL	NULL	0.651757	0.611764	NULL	NULL	0.592005
2.8992e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.569719	NULL	NULL
2.9056e-08	NULL	NULL	0.617003	NULL	NULL	NULL	NULL	NULL	0.608485	NULL
2.9088e-08	0.633674	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.912e-08	NULL	NULL	NULL	NULL	NULL	0.651073	NULL	0.56964	NULL	NULL
2.9152e-08	0.633409	NULL	0.616732	NULL	NULL	NULL	0.611454	NULL	0.607968	0.591526
2.9184e-08	NULL	NULL	NULL	0.584997	NULL	NULL	NULL	NULL	NULL	NULL
2.9216e-08	NULL	NULL	NULL	NULL	0.654799	NULL	NULL	NULL	NULL	NULL
2.9248e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.570209	NULL	NULL
2.9312e-08	NULL	0.659016	0.617099	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.9376e-08	NULL	NULL	NULL	0.586195	NULL	NULL	NULL	NULL	NULL	NULL
2.944e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.612621	NULL	NULL	0.592347
2.9472e-08	NULL	NULL	NULL	0.586479	NULL	NULL	NULL	NULL	0.607537	NULL
2.9488e-08	0.633313	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.9504e-08	NULL	0.659827	NULL	NULL	0.654904	NULL	NULL	NULL	NULL	NULL
2.9536e-08	NULL	NULL	0.617704	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.9568e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.607304	NULL
2.96e-08	0.633109	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.9616e-08	NULL	NULL	NULL	0.586612	NULL	NULL	NULL	NULL	NULL	NULL
2.9632e-08	NULL	NULL	NULL	NULL	0.654898	NULL	NULL	NULL	NULL	0.592434
2.968e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.572392	NULL	NULL
2.9696e-08	0.63311	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.976e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.61398	NULL	NULL	NULL
2.9792e-08	NULL	NULL	0.618397	NULL	NULL	0.651093	NULL	0.572972	0.607124	NULL
2.9824e-08	NULL	NULL	NULL	0.586973	NULL	NULL	NULL	NULL	NULL	NULL
2.992e-08	NULL	NULL	NULL	NULL	0.655513	NULL	NULL	NULL	NULL	NULL
2.9952e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.573566	NULL	NULL
3.0016e-08	NULL	NULL	NULL	NULL	0.655692	0.651335	0.615082	NULL	NULL	0.593377
3.008e-08	NULL	NULL	0.619042	0.587274	NULL	NULL	NULL	0.573715	NULL	NULL
3.0208e-08	0.633783	NULL	NULL	NULL	0.655734	NULL	0.615459	NULL	0.606889	NULL
3.0272e-08	NULL	NULL	NULL	0.587142	NULL	0.651106	NULL	0.573548	NULL	NULL
3.0304e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.593507
3.0336e-08	NULL	0.660732	0.619212	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.0464e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.615255	NULL	NULL	NULL
3.0496e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.573111	NULL	NULL
3.0528e-08	NULL	NULL	NULL	NULL	NULL	0.65072	NULL	NULL	NULL	NULL
3.0624e-08	NULL	NULL	NULL	NULL	0.655129	NULL	NULL	NULL	NULL	NULL
3.0656e-08	0.633674	NULL	NULL	0.586557	NULL	NULL	NULL	NULL	NULL	NULL
